city,state_id,state_name
New York,NY,New York
Los Angeles,CA,California
Chicago,IL,Illinois
Miami,FL,Florida
Houston,TX,Texas
Dallas,TX,Texas
Philadelphia,PA,Pennsylvania
Atlanta,GA,Georgia
Washington,DC,District of Columbia
Boston,MA,Massachusetts
Phoenix,AZ,Arizona
Detroit,MI,Michigan
Seattle,WA,Washington
San Francisco,CA,California
San Diego,CA,California
Minneapolis,MN,Minnesota
Tampa,FL,Florida
Brooklyn,NY,New York
Denver,CO,Colorado
Queens,NY,New York
Riverside,CA,California
Las Vegas,NV,Nevada
Baltimore,MD,Maryland
St. Louis,MO,Missouri
Portland,OR,Oregon
San Antonio,TX,Texas
Sacramento,CA,California
Austin,TX,Texas
Orlando,FL,Florida
San Juan,PR,Puerto Rico
San Jose,CA,California
Pittsburgh,PA,Pennsylvania
Indianapolis,IN,Indiana
Manhattan,NY,New York
Cincinnati,OH,Ohio
Kansas City,MO,Missouri
Cleveland,OH,Ohio
Columbus,OH,Ohio
Bronx,NY,New York
Virginia Beach,VA,Virginia
Charlotte,NC,North Carolina
Milwaukee,WI,Wisconsin
Providence,RI,Rhode Island
Jacksonville,FL,Florida
Nashville,TN,Tennessee
Salt Lake City,UT,Utah
Raleigh,NC,North Carolina
Richmond,VA,Virginia
Memphis,TN,Tennessee
Oklahoma City,OK,Oklahoma
Hartford,CT,Connecticut
Louisville,KY,Kentucky
Buffalo,NY,New York
New Orleans,LA,Louisiana
Fort Worth,TX,Texas
Bridgeport,CT,Connecticut
Tucson,AZ,Arizona
El Paso,TX,Texas
Omaha,NE,Nebraska
McAllen,TX,Texas
Birmingham,AL,Alabama
Albuquerque,NM,New Mexico
Tulsa,OK,Oklahoma
Fresno,CA,California
Charleston,SC,South Carolina
Rochester,NY,New York
Dayton,OH,Ohio
Cape Coral,FL,Florida
Mission Viejo,CA,California
Colorado Springs,CO,Colorado
Baton Rouge,LA,Louisiana
Allentown,PA,Pennsylvania
Ogden,UT,Utah
Provo,UT,Utah
Knoxville,TN,Tennessee
Grand Rapids,MI,Michigan
Columbia,SC,South Carolina
Albany,NY,New York
Bakersfield,CA,California
New Haven,CT,Connecticut
Des Moines,IA,Iowa
Akron,OH,Ohio
Palm Bay,FL,Florida
Concord,CA,California
Wichita,KS,Kansas
Mesa,AZ,Arizona
Harrisburg,PA,Pennsylvania
Staten Island,NY,New York
Toledo,OH,Ohio
Worcester,MA,Massachusetts
Long Beach,CA,California
Port St. Lucie,FL,Florida
Little Rock,AR,Arkansas
Reno,NV,Nevada
Spokane,WA,Washington
Madison,WI,Wisconsin
Boise,ID,Idaho
Bonita Springs,FL,Florida
Denton,TX,Texas
Oakland,CA,California
Springfield,MA,Massachusetts
Augusta,GA,Georgia
Kissimmee,FL,Florida
Winston-Salem,NC,North Carolina
Stockton,CA,California
Syracuse,NY,New York
Chattanooga,TN,Tennessee
Lancaster,PA,Pennsylvania
Greenville,SC,South Carolina
Durham,NC,North Carolina
Pensacola,FL,Florida
Fayetteville,AR,Arkansas
Arlington,TX,Texas
Aurora,CO,Colorado
Oxnard,CA,California
Indio,CA,California
Scranton,PA,Pennsylvania
Victorville,CA,California
Trenton,NJ,New Jersey
Modesto,CA,California
Huntsville,AL,Alabama
Honolulu,HI,Hawaii
Greensboro,NC,North Carolina
Anaheim,CA,California
Corpus Christi,TX,Texas
Fort Wayne,IN,Indiana
Fort Collins,CO,Colorado
Jackson,MS,Mississippi
Myrtle Beach,SC,South Carolina
Fayetteville,NC,North Carolina
Antioch,CA,California
Lansing,MI,Michigan
Lexington,KY,Kentucky
Mobile,AL,Alabama
Youngstown,OH,Ohio
Henderson,NV,Nevada
Savannah,GA,Georgia
Poughkeepsie,NY,New York
Santa Ana,CA,California
Ann Arbor,MI,Michigan
St. Paul,MN,Minnesota
Newark,NJ,New Jersey
Irvine,CA,California
Santa Rosa,CA,California
Canton,OH,Ohio
Asheville,NC,North Carolina
Flint,MI,Michigan
Winter Haven,FL,Florida
Anchorage,AK,Alaska
Lincoln,NE,Nebraska
Concord,NC,North Carolina
Jersey City,NJ,New Jersey
Springfield,MO,Missouri
Plano,TX,Texas
Shreveport,LA,Louisiana
Davenport,IA,Iowa
Lubbock,TX,Texas
Lakeland,FL,Florida
South Bend,IN,Indiana
Chula Vista,CA,California
Chandler,AZ,Arizona
Rockford,IL,Illinois
Reading,PA,Pennsylvania
Eugene,OR,Oregon
Wilmington,NC,North Carolina
Santa Clarita,CA,California
Gilbert,AZ,Arizona
Salem,OR,Oregon
Killeen,TX,Texas
Round Lake Beach,IL,Illinois
Columbus,GA,Georgia
North Las Vegas,NV,Nevada
Kennewick,WA,Washington
St. Petersburg,FL,Florida
Tallahassee,FL,Florida
Laredo,TX,Texas
Irving,TX,Texas
Peoria,IL,Illinois
Montgomery,AL,Alabama
Chesapeake,VA,Virginia
Glendale,AZ,Arizona
York,PA,Pennsylvania
Nashua,NH,New Hampshire
Garland,TX,Texas
Scottsdale,AZ,Arizona
Lafayette,LA,Louisiana
Norfolk,VA,Virginia
Arlington,VA,Virginia
Appleton,WI,Wisconsin
Aguadilla,PR,Puerto Rico
Rock Hill,SC,South Carolina
Fremont,CA,California
Fargo,ND,North Dakota
Gulfport,MS,Mississippi
Bremerton,WA,Washington
Green Bay,WI,Wisconsin
Enterprise,NV,Nevada
Hialeah,FL,Florida
Deltona,FL,Florida
San Bernardino,CA,California
Gainesville,FL,Florida
Spring Valley,NV,Nevada
Tacoma,WA,Washington
Roanoke,VA,Virginia
Brownsville,TX,Texas
College Station,TX,Texas
Olympia,WA,Washington
Clarksville,TN,Tennessee
Yonkers,NY,New York
Moreno Valley,CA,California
Thousand Oaks,CA,California
Portland,ME,Maine
Fontana,CA,California
Hickory,NC,North Carolina
Amarillo,TX,Texas
Sioux Falls,SD,South Dakota
Evansville,IN,Indiana
Huntington,WV,West Virginia
Waterbury,CT,Connecticut
Frisco,TX,Texas
Lorain,OH,Ohio
Kalamazoo,MI,Michigan
Galveston,TX,Texas
Spartanburg,SC,South Carolina
Santa Barbara,CA,California
Sunrise Manor,NV,Nevada
Huntington Beach,CA,California
Grand Prairie,TX,Texas
Overland Park,KS,Kansas
McKinney,TX,Texas
Waco,TX,Texas
Hagerstown,MD,Maryland
Glendale,CA,California
Nampa,ID,Idaho
Peoria,AZ,Arizona
Cedar Rapids,IA,Iowa
Vancouver,WA,Washington
Paradise,NV,Nevada
Ocala,FL,Florida
Erie,PA,Pennsylvania
Newport News,VA,Virginia
Frederick,MD,Maryland
Murfreesboro,TN,Tennessee
Fort Lauderdale,FL,Florida
Aurora,IL,Illinois
Tempe,AZ,Arizona
Danbury,CT,Connecticut
Spring Hill,FL,Florida
